input,score,output,other,match_level,lg_code,pref,county,city,ward,machiaza_id,oaza_cho,chome,koaza,blk_num,blk_id,rsdt_num,rsdt_id,rsdt_num2,rsdt2_id,rsdt_addr_flg,prc_num1,prc_num2,prc_num3,prc_id,lat,lon,coordinate_level,pref_key,city_key,town_key,parcel_key,rsdtblk_key,rsdtdsp_key,spend_time
"北海道滝川市本町３丁目２番３０号",0.82,"北海道滝川市本町三丁目2-30",,residential_detail,012254,北海道,,滝川市,,0041003,本町,三丁目,,2,002,30,030,,,1,,,,,43.560770594,141.909045746,residential_detail,5859364,3592693285,2047246812,,607800065,2247796396,1.08
"北海道赤平市桜木町４丁目４３番地",0.82,"北海道赤平市桜木町四丁目43",,parcel,012181,北海道,,赤平市,,0010004,桜木町,四丁目,,,,,,,,0,43,,,000430000000000,43.563148857,142.028750014,parcel,5859364,3789594286,4214510164,855899180,,,1.07
"北海道恵庭市島松寿町１丁目８番地１６",0.95,"北海道恵庭市島松寿町一丁目8番地16","番地16",residential_block,012319,北海道,,恵庭市,,0024001,島松寿町,一丁目,,8,008,,,,,1,,,,,42.91895,141.572678,residential_block,5859364,4096673773,2357138005,,3877130178,,1.07
"北海道赤平市字平岸１８８番地",0.79,"北海道赤平市平岸188","平岸188",city,012181,北海道,,赤平市,,,,,,,,,,,,,,,,,43.558039,142.044223,city,5859364,3789594286,,,,,1.02
"北海道芦別市北五条西１丁目３番地１０",0.95,"北海道芦別市北五条西一丁目3番地10","番地10",residential_block,012165,北海道,,芦別市,,0015001,北五条西,一丁目,,3,003,,,,,1,,,,,43.527276,142.18401400000002,residential_block,5859364,3630676516,1739901694,,573308482,,1.07
"北海道滝川市大町６丁目３番１１号",0.82,"北海道滝川市大町六丁目3-11",,residential_detail,012254,北海道,,滝川市,,0015006,大町,六丁目,,3,003,11,011,,,1,,,,,43.56289019,141.913205639,residential_detail,5859364,3592693285,1653276568,,4008416484,3551662954,1.02
"北海道滝川市一の坂町西３丁目１番３９号",0.85,"北海道滝川市一の坂町西三丁目1-39",,residential_detail,012254,北海道,,滝川市,,0008003,一の坂町西,三丁目,,1,001,39,039,,,1,,,,,43.566533032,141.91259441,residential_detail,5859364,3592693285,641358353,,3805806511,642704299,1.01
"北海道砂川市西一条北１丁目１番１５号",0.84,"北海道砂川市西一条北一丁目1-15",,residential_detail,012262,北海道,,砂川市,,0019001,西一条北,一丁目,,1,001,15,015,,,1,,,,,43.491452023,141.9069582,residential_detail,5859364,3814530208,1935126134,,2558731272,1553678466,1.00
"北海道滝川市江部乙町東１３丁目１３０２番地１１",0.83,"北海道滝川市江部乙町東十三丁目1302-11",,parcel,012254,北海道,,滝川市,,0012013,江部乙町東,十三丁目,,,,,,,,1,1302,11,,013020001100000,43.633208837000005,141.945320186,parcel,5859364,3592693285,2551286971,2019061092,,,1.01
"北海道滝川市二の坂町東２丁目２番３２号",0.85,"北海道滝川市二の坂町東二丁目2-32",,residential_detail,012254,北海道,,滝川市,,0035002,二の坂町東,二丁目,,2,002,32,032,,,1,,,,,43.578965261,141.919531431,residential_detail,5859364,3592693285,2788249950,,4057168643,949671276,1.01
"北海道赤平市茂尻旭町１丁目１９番地",0.83,"北海道赤平市茂尻旭町一丁目19",,parcel,012181,北海道,,赤平市,,0035001,茂尻旭町,一丁目,,,,,,,,0,19,,,000190000000000,43.536248219,142.093243403,parcel,5859364,3789594286,1149282230,2716790785,,,1.00
"北海道砂川市空知太東一条５丁目１番１５号",0.85,"北海道砂川市空知太東一条五丁目1-15",,residential_detail,012262,北海道,,砂川市,,0012005,空知太東一条,五丁目,,1,001,15,015,,,1,,,,,43.53782151,141.921383892,residential_detail,5859364,3814530208,3712786553,,1448327,3446156045,1.00
"北海道滝川市扇町３丁目１４番２３号",0.83,"北海道滝川市扇町三丁目14-23",,residential_detail,012254,北海道,,滝川市,,0013003,扇町,三丁目,,14,014,23,023,,,1,,,,,43.571752231,141.88482761100002,residential_detail,5859364,3592693285,2436358203,,2762199585,1812848046,1.00
"北海道芦別市新城町２３３番地",0.86,"北海道芦別市新城町233","233",machiaza_detail,012165,北海道,,芦別市,,0021000,新城町,,,,,,,,,0,,,,,43.616243000000004,142.201512,machiaza_detail,5859364,3630676516,25455352,,,,0.99
"北海道滝川市扇町３丁目３番３８号",0.82,"北海道滝川市扇町三丁目3-38",,residential_detail,012254,北海道,,滝川市,,0013003,扇町,三丁目,,3,003,38,038,,,1,,,,,43.568496624000005,141.892110981,residential_detail,5859364,3592693285,2436358203,,3573691143,337416098,0.99
"北海道滝川市一の坂町西３丁目１番３５号",0.85,"北海道滝川市一の坂町西三丁目1-35",,residential_detail,012254,北海道,,滝川市,,0008003,一の坂町西,三丁目,,1,001,35,035,,,1,,,,,43.56686904600001,141.912749769,residential_detail,5859364,3592693285,641358353,,3805806511,3890453799,0.98
"北海道芦別市本町４０番地の９",0.79,"北海道芦別市本町40-9",,parcel,012165,北海道,,芦別市,,0034000,本町,,,,,,,,,0,40,9,,000400000900000,43.51633026300001,142.19862461,parcel,5859364,3630676516,2660714396,3964581006,,,0.99
"北海道砂川市西一条北８丁目１番１号",0.83,"北海道砂川市西一条北八丁目1-1",,residential_detail,012262,北海道,,砂川市,,0019008,西一条北,八丁目,,1,001,1,001,,,1,,,,,43.499251425,141.909145516,residential_detail,5859364,3814530208,2568772575,,2953668321,772639150,0.99
"北海道樺戸郡浦臼町字浦臼内１８５番地の９９",0.86,"北海道樺戸郡浦臼町字浦臼内185-99",,parcel,014311,北海道,樺戸郡,浦臼町,,0001000,字浦臼内,,,,,,,,,0,185,99,,001850009900000,43.421768906,141.808169091,parcel,5859364,3783588451,609938301,1034919566,,,0.98
"北海道樺戸郡浦臼町字浦臼内１７４番地の４０",0.86,"北海道樺戸郡浦臼町字浦臼内174-40",,parcel,014311,北海道,樺戸郡,浦臼町,,0001000,字浦臼内,,,,,,,,,0,174,40,,001740004000000,43.417841457,141.804591749,parcel,5859364,3783588451,609938301,3581529092,,,0.98
"北海道空知郡奈井江町字奈江原野２０３９番地１９",0.92,"北海道空知郡奈井江町字奈江原野2039-19",,parcel,014249,北海道,空知郡,奈井江町,,0010000,字奈江原野,,,,,,,,,0,2039,19,,020390001900000,43.424423898,141.875040503,parcel,5859364,4088554191,1854961265,42367022,,,0.98
"北海道滝川市江部乙町西１２丁目１３番３１号",0.81,"北海道滝川市江部乙町西十二丁目13-31",,residential_detail,012254,北海道,,滝川市,,0011012,江部乙町西,十二丁目,,13,013,31,031,,,1,,,,,43.630256846,141.940612676,residential_detail,5859364,3592693285,1175681049,,4030899044,1193969256,0.98
"北海道砂川市東四条南１８丁目１番３７号",0.79,"北海道砂川市東四条南十八丁目1-37","-37",residential_block,012262,北海道,,砂川市,,0047018,東四条南,十八丁目,,1,001,,,,,1,,,,,43.465364,141.902614,residential_block,5859364,3814530208,3812413813,,3565981963,,0.97
